id,lat,lon
1,55.753544,37.621202
2,59.939131,30.315882
3,55.796289,49.108980
4,56.328674,44.002059
5,54.989347,73.368221
6,53.195538,50.100202
7,47.222531,39.718705
8,56.838002,60.597295
9,55.041500,82.934600
10,56.852544,53.204843
11,45.043317,38.975882
12,48.719390,44.501840
13,54.734853,55.957855
14,58.520721,31.301470
15,59.557049,150.803543
16,43.585525,39.723062
17,44.616650,33.525366
18,60.153033,59.986748
19,51.768199,55.096955
20,53.361406,55.925674
21,55.028190,82.921447
22,56.484640,84.948183
23,53.355127,83.692948
24,52.297781,104.296422
25,61.257447,73.397448
26,66.529323,66.614426
27,67.639895,53.006729
28,68.958527,33.082931
29,59.603392,150.851941
30,46.349272,48.034981
31,44.958820,34.109917
32,57.626569,39.893822
33,54.782712,32.045287
34,51.675454,39.208828
35,53.243325,34.363991
36,54.513845,36.261215
37,55.830430,49.066082
38,56.633213,47.895285
39,58.461335,92.130349
40,52.033681,113.500702
41,52.269310,104.278237
42,61.257588,73.425722
43,56.462089,84.975206
44,53.360749,83.763647
45,55.030204,82.920430
46,54.853096,83.105735
47,55.018196,82.933618
48,56.112184,47.244961
49,54.625146,39.734957
50,53.203434,50.160491
51,44.723489,37.768031
52,43.682570,40.288311
53,42.874621,131.635617
54,48.482707,135.078971
55,50.290406,127.527210
56,52.033097,113.501114
57,56.600562,57.758219
58,58.000000,56.316666
59,57.152985,65.541227
60,55.442201,65.341118
61,54.436231,61.254593
62,53.451735,59.067332
63,51.530018,46.034657
64,53.373896,55.935023
65,54.736237,55.966153
66,56.132222,47.251944
67,55.784183,49.124128
68,56.328674,44.002059
69,57.152222,65.527222
70,58.043056,60.553889
71,59.076667,37.901111
72,58.461111,92.148611
73,59.562500,150.803611
74,53.016667,158.650000
75,62.033889,129.733056
76,62.027222,129.731944
77,56.753690,37.193314
78,56.342500,37.520278
79,54.920000,37.410000
80,55.616667,37.650000
81,55.914167,37.825000
82,55.900000,37.583333
83,55.869444,37.661667
84,55.761111,37.656389
85,55.733890,37.587129
86,55.678333,37.893333
87,55.630556,37.800556
88,55.580556,37.693611
89,55.550000,37.700000
90,55.533333,37.483333
91,55.508333,37.326389
92,55.433333,37.550000
93,55.422500,37.554167
94,55.383333,37.550000
95,55.350000,37.616667
96,55.333333,37.750000
97,55.316667,38.650000
98,55.183333,37.966667
99,55.116667,38.766667
100,55.012222,82.935556
