1|0|55.7552921|37.6176294
2|0|55.7579795|37.611263
3|0|55.7639781|37.6372038
4|1|55.7472026|37.5871728
5|0|55.752219|37.5923887
6|0|55.7329539|37.627147
7|0|55.7625866|37.6271387
8|0|55.7671175|37.5601109
9|0|55.7106177|37.5774773
10|0|55.7817407|37.6325789
11|0|59.93584|30.325866
12|0|59.9401126|30.3128061
13|0|59.928855|30.33866
14|0|59.922972|30.309544
15|0|59.9358328|30.3372245
16|0|59.937197|30.347785
17|2|59.955775|30.329298
18|0|59.9407562|30.3002204
19|0|59.946302|30.354343
20|0|59.9338179|30.3484245
21|0|56.8364135|60.6002825
22|2|55.062889|82.91175
23|0|55.7907556|49.1216778
24|0|56.3089103|43.9873194
25|0|53.194324|50.0936898
26|0|55.1598343|61.3981365
27|0|54.9864413|73.3728233
28|0|47.2217159|39.712198
29|0|54.761345|56.013339
30|0|56.0118986|92.87363
31|0|43.1163202|131.8821121
32|0|54.711364|20.508215
33|0|52.286822|104.279714
34|0|68.9725952|33.0841866
35|0|64.5405458|40.5131644
36|1|57.6262585|39.889879
37|0|54.185737|37.6099951
38|0|51.7300242|36.1920874
39|0|50.5942385|36.5940384
40|1|43.550018|39.775981
41|0|58.009992|56.237366
42|0|51.6667123|39.2064422
43|0|48.781977|44.3788472
44|0|51.53612|46.023758
45|0|57.152014|65.543163
46|0|53.5557723|49.2649926
47|0|56.8545438|53.2115568
48|0|53.3465685|83.7792569
49|0|54.9857909|73.3740491
50|0|55.164773|61.40021
51|0|58.5296301|31.2934211
52|0|57.8134577|28.3478706
53|0|54.7859266|32.0541465
54|0|56.8607597|35.9027885
55|2|57.7605736|40.9548918
56|0|56.1282796|40.41012
57|0|54.629336|39.742079
58|0|52.5968227|39.5675642
59|0|52.7218767|41.4530709
60|0|54.3136062|48.3962881
61|0|44.6084848|40.1044887
62|0|56.844707|53.199291
63|0|51.7201129|94.4395318
64|0|53.7215479|91.4422058
65|0|66.5264178|66.606642
66|0|53.0109741|158.6528568
67|0|46.9631253|142.7274316
68|1|59.5690973|150.8086123
69|0|64.7350925|177.5109876
70|0|55.099778|36.602674
71|0|55.917825|37.868993
72|0|56.010123|37.8504139
73|0|60.0212396|30.6537152
74|0|60.7108312|28.7375567
75|0|57.2550735|60.102993
76|0|55.7692536|60.6943145
77|0|55.0814688|21.8892383
78|0|43.7974872|131.9533744
79|2|53.189897|158.382547
80|0|48.5813281|45.7376178
81|0|55.889074|37.445501
82|0|55.7516057|38.0120612
83|0|59.848805|30.322318
84|0|56.82306|60.61916
85|0|55.018571|82.937764
86|0|55.7902728|49.1152324
87|0|56.3276304|43.9843073
88|0|53.184931|50.100783
89|0|55.1593954|61.3991392
90|0|55.016452|73.3179925
91|1|55.7384798|37.5959282
92|1|59.925363|30.3436526
93|1|56.836094|60.614637
94|0|55.036938|82.91636
95|1|55.7812527|49.1132821
96|1|56.3241821|44.0077287
97|1|53.2006079|50.1092544
98|1|55.1579118|61.3853015
99|1|54.985298|73.3751004
100|1|47.220741|39.709122
